type,properties/cp,properties/la_name,properties/road,properties/rcat,properties/easting,properties/northing,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,951764,Waltham Forest,HIGH ROAD LEYTONSTONE,CU,539503,187463,Point,0.011454893460554,51.56873602612414
Feature,951767,Waltham Forest,FOREST VIEW,UU,539227,194815,Point,0.010391527983782,51.634868974264144
Feature,951769,Wandsworth,RODWAY ROAD,UU,522287,173874,Point,-0.241526160838714,51.450600234185686
Feature,953083,Hounslow,Stanwell Road,CU,508000,173862,Point,-0.447053218083825,51.45339531840204
Feature,953102,Ealing,Balfour Road,UU,511855,179384,Point,-0.389847481418346,51.50227998678753
Feature,953110,Harrow,High Worple,UU,512887,187437,Point,-0.372404932970491,51.574455066328575
Feature,953132,Brent,Lindsay Drive,UU,518733,188768,Point,-0.287634617547972,51.585217532204524
Feature,953145,Hounslow,ARLINGTON GARDENS,UU,520156,178416,Point,-0.270635968519075,51.49187774669837
Feature,953146,Ealing,Bollo Bridge Road,UU,520329,179599,Point,-0.267742133974866,51.50247324725548
Feature,953155,Brent,Lynne Way,UU,521168,184552,Point,-0.253957892155217,51.54680892279689
Feature,953170,Camden,Netherwood Street,UU,524940,184500,Point,-0.199606027324176,51.54551972464345
Feature,953171,Brent,Mapesbury Road,UU,524175,184605,Point,-0.210595531879219,51.546632095450455
Feature,953184,Merton,Cricket Green,UU,527645,168589,Point,-0.1663612052891,51.40192162017597
Feature,953192,Wandsworth,Shirley Grove,UU,528346,175841,Point,-0.153662824663777,51.466937897704845
Feature,953195,Haringey,Southwood Avenue,UU,528615,187882,Point,-0.145400687254859,51.57508829982685
Feature,953198,Barnet,Hampden Way,UU,528724,193939,Point,-0.141607231224121,51.629496267027825
Feature,953208,Haringey,Brook Road,UU,530166,189479,Point,-0.122439883057666,51.5890843341619
Feature,953214,Croydon,Bencombe Road,UU,531255,160470,Point,-0.117487946370717,51.3281330058678
Feature,953217,Lambeth,South Island Place,UU,531202,177190,Point,-0.112069373342261,51.4784066785625
Feature,953219,Enfield,Woodberry Avenue,UU,531500,193830,Point,-0.101563913580856,51.62787528543754
Feature,953223,Hackney,Malvern Road,UU,534150,184360,Point,-0.066917205945996,51.54214912359912
Feature,953236,Southwark,Lynton Road,UU,534733,178577,Point,-0.060724242747307,51.49004163543
Feature,953255,Lewisham,Stainton Road,UU,538677,173788,Point,-0.005829267372745,51.44605372277688
Feature,953260,Lewisham,Whitefoot Lane,CU,539262,172240,Point,0.001974969876842,51.43199956670984
Feature,953262,Redbridge,Grove Hill,UU,539900,190280,Point,0.01830083327972,51.59395114220132
Feature,953264,Lewisham,Coopers Alne,UU,540650,172735,Point,0.02212548015921,51.43610512311842
Feature,953266,Redbridge,Halstead Road,UU,540510,188880,Point,0.026541378242006,51.581219204126164
Feature,953271,Bromley,Church Road,UU,542210,158973,Point,0.03905065467041,51.312048856081326
Feature,953275,Newham,Sibley Grove,UU,542498,184354,Point,0.053380899315304,51.54005085233231
Feature,953280,Bromley,Derwent Drive,UU,544675,166695,Point,0.07753071054201,51.38081767359383
Feature,953284,Greenwich,Broadwater Road,UU,544503,179130,Point,0.080132007196452,51.49260025466286
Feature,953289,Bromley,Sandway Road,UU,547727,168208,Point,0.121984053013372,51.393627485084245
Feature,953293,Barking and Dagenham,Cartwright Road,UU,548586,184348,Point,0.141101444980805,51.538428316430995
Feature,953308,Havering,Straight Road,CU,553392,190678,Point,0.213106888469184,51.59401777740541
Feature,953311,Havering,Upminster Road North,CR,554300,182880,Point,0.222785300633354,51.52370670484505
Feature,953312,Havering,Sackville Cresent,UU,554202,190745,Point,0.22482080826124,51.59439877975331
Feature,953313,Havering,Petersfield Avenue,UU,554573,191957,Point,0.230706332381452,51.605186606173625
Feature,956871,Redbridge,Hamilton Road,UU,543790,185850,Point,0.072609144144385,51.55316603155365
Feature,956887,Redbridge,Five Oaks Lane,UR,548308,192000,Point,0.14032388296186,51.60725663980149
Feature,961008,Hillingdon,Sandy Lodge Way,UU,509050,192080,Point,-0.426309710518152,51.61694149698043
Feature,965631,Barnet,May's Lane,UR,523100,195000,Point,-0.222446961806018,51.64028920489439
Feature,967554,Bromley,Albemarle Road,UU,538180,169660,Point,-0.014585435834275,51.40907944765681
Feature,980006,Bexley,Pickford Lane,UU,548360,176690,Point,0.134626244280335,51.46967761789435
Feature,990027,Enfield,Somerset Road,UU,537040,198465,Point,-0.019760526884076,51.66820467085555
Feature,990028,Hillingdon,Nicholls Avenue,UU,507500,182400,Point,-0.451648365988238,51.53023318929878
Feature,990029,Bexley,Bexley Road,BU,551450,178020,Point,0.179650441875418,51.48080990642516
Feature,990044,Havering,George Street,UU,551815,188247,Point,0.189307334541659,51.5726022520293
Feature,990137,Hillingdon,West Drayton Road,BU,508060,181570,Point,-0.443832777364537,51.52266610916485
Feature,990138,Barnet,Holders Hill Road,BU,523990,190330,Point,-0.211243260371408,51.59812421541175
Feature,990139,Camden,Fitzjohns Avenue,BU,526610,184830,Point,-0.17541675592445,51.548113533092156
Feature,990140,Westminster,Lisson Grove,BU,527207,182194,Point,-0.167763145948985,51.52428966555952
Feature,990141,Kensington and Chelsea,Sydney Place,BU,526978,178640,Point,-0.172341078062731,51.4924011672326
Feature,990142,Bromley,Blacksmith Lane,BU,547480,167980,Point,0.118341691264522,51.39164296349943
Feature,990143,Bromley,Westmoreland Road,BU,539800,168150,Point,0.008097885616479,51.395113413582024
Feature,990144,Havering,,BU,550680,190380,Point,0.173856511737756,51.592071631225714
